Raw Characteristics,Parse Success,Listing ID,Price per unit,Location,EPC,Available from,Usable area,Floor,Condition,Layout,Age,Plot space,Total floors,Plot type
"{""Listing ID"": ""904380"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""€1,404/ m2"", ""Užitná plocha"": ""47m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""3. podlaží z 5"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,904380,"€1,404/ m2",,B - Very economical,08/06/2025,47m²,3. podlaží z 5,After reconstruction,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""904381"", ""Layout"": ""7+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,800/ m2"", ""Užitná plocha"": ""250m²"", ""Plot space"": ""1,812m²"", ""EPC"": ""E - Wasteful"", ""Total floors"": ""2"", """": ""MHD 3 minutes on foot""}",True,904381,"€3,800/ m2",,E - Wasteful,,250m²,,After reconstruction,7+1,Over 50 years,"1,812m²",2,
"{""Listing ID"": ""904383"", ""Layout"": ""4+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""123m²"", ""Available from"": ""08/06/2025"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€3,415/ m2"", """": ""MHD 4 minutes on foot""}",True,904383,"€3,415/ m2",,D - Less economical,08/06/2025,123m²,,After reconstruction,4+1,Over 50 years,,,
"{""Listing ID"": ""904384"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,340/ m2"", ""Užitná plocha"": ""262m²"", ""Plot space"": ""290m²"", ""EPC"": ""F - Very uneconomical"", ""Total floors"": ""3"", """": ""Garage""}",True,904384,"€3,340/ m2",,F - Very uneconomical,08/06/2025,262m²,,Good,,Over 50 years,290m²,3,
"{""Listing ID"": ""904388"", ""Fully furnished"": ""Partly"", ""Floor"": ""3. podlaží"", ""Price per unit"": ""€5/ m2"", ""Užitná plocha"": ""87m²"", ""Available from"": ""26/05/2025"", ""Age"": ""Over 50 years"", """": ""Lift""}",True,904388,€5/ m2,,,26/05/2025,87m²,3. podlaží,,,Over 50 years,,,
"{""Listing ID"": ""904389"", ""Layout"": ""5+kk"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""137m²"", ""Available from"": ""08/06/2025"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€2,912/ m2"", """": ""MHD 1 minute on foot""}",True,904389,"€2,912/ m2",,D - Less economical,08/06/2025,137m²,,After reconstruction,5+kk,Over 50 years,,,
"{""Listing ID"": ""904390"", ""Layout"": ""3+kk"", ""Condition"": ""Good"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€14/ m2"", ""Užitná plocha"": ""109m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""1. podlaží z 2"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,904390,€14/ m2,,D - Less economical,08/06/2025,109m²,1. podlaží z 2,Good,3+kk,Over 50 years,,,
"{""Listing ID"": ""904391"", ""Layout"": ""6+1"", ""Plot space"": ""522m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""3"", ""Užitná plocha"": ""206m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,495/ m2"", """": ""Garage""}",True,904391,"€3,495/ m2",,D - Less economical,08/06/2025,206m²,,Very good,6+1,Over 50 years,522m²,3,
"{""Listing ID"": ""904392"", ""Layout"": ""1 bedroom"", ""Condition"": ""After reconstruction"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€16/ m2"", ""Užitná plocha"": ""40m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""1. podlaží z 4"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,904392,€16/ m2,,E - Wasteful,08/06/2025,40m²,1. podlaží z 4,After reconstruction,1 bedroom,Over 50 years,,,
"{""Listing ID"": ""904393"", ""Layout"": ""5+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""152m²"", ""Available from"": ""01/07/2025"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""€14/ m2"", """": ""MHD 2 minutes on foot""}",True,904393,€14/ m2,,B - Very economical,01/07/2025,152m²,,After reconstruction,5+1,Over 50 years,,,
"{""Listing ID"": ""904397"", ""Layout"": ""2 bedroom"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€12/ m2"", ""Užitná plocha"": ""65m²"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,904397,€12/ m2,,A - Extremely economical,,65m²,,Very good,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""904398"", ""Layout"": ""3+1"", ""Condition"": ""After reconstruction"", ""Total floors"": ""1"", ""Užitná plocha"": ""75m²"", ""Plot space"": ""466m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,667/ m2"", """": ""Garage""}",True,904398,"€4,667/ m2",,,,75m²,,After reconstruction,3+1,Over 50 years,466m²,1,
"{""Listing ID"": ""904401"", ""Layout"": ""5+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,815/ m2"", ""Užitná plocha"": ""151m²"", ""Plot space"": ""225m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""3"", """": ""MHD 4 minutes on foot""}",True,904401,"€2,815/ m2",,D - Less economical,,151m²,,After reconstruction,5+1,Over 50 years,225m²,3,
"{""Listing ID"": ""904404"", ""Plot space"": ""1,059m²"", ""Available from"": ""08/06/2025"", ""Price per unit"": ""€1,698/ m2"", """": ""MHD 1 minute on foot""}",True,904404,"€1,698/ m2",,,08/06/2025,,,,,,"1,059m²",,
"{""Listing ID"": ""904405"", ""Layout"": ""5+1"", ""Condition"": ""After reconstruction"", ""Total floors"": ""2"", ""Užitná plocha"": ""140m²"", ""Plot space"": ""822m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€9,107/ m2"", """": ""MHD 1 minute on foot""}",True,904405,"€9,107/ m2",,,,140m²,,After reconstruction,5+1,Over 50 years,822m²,2,
"{""Listing ID"": ""904406"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""63m²"", ""Available from"": ""22/05/2025"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€4,111/ m2"", """": ""MHD 0 minutes on foot""}",True,904406,"€4,111/ m2",,D - Less economical,22/05/2025,63m²,,Good,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""904407"", ""Layout"": ""4+1"", ""Condition"": ""After reconstruction"", ""Total floors"": ""2"", ""Užitná plocha"": ""120m²"", ""Plot space"": ""894m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,333/ m2"", """": ""MHD 2 minutes on foot""}",True,904407,"€2,333/ m2",,,,120m²,,After reconstruction,4+1,Over 50 years,894m²,2,
"{""Listing ID"": ""904408"", ""Layout"": ""2 bedroom"", ""Floor"": ""2. podlaží z 3"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""59m²"", ""Condition"": ""Good"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€3,203/ m2"", """": ""MHD 4 minutes on foot""}",True,904408,"€3,203/ m2",,C - Economical,,59m²,2. podlaží z 3,Good,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""904409"", ""Layout"": ""3+1"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€10/ m2"", ""Užitná plocha"": ""91m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", """": ""MHD 4 minutes on foot""}",True,904409,€10/ m2,,C - Economical,,91m²,,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""904410"", ""Plot space"": ""737m²"", ""EPC"": ""F - Very uneconomical"", ""Total floors"": ""2"", ""Užitná plocha"": ""222m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,923/ m2"", """": ""Garage""}",True,904410,"€2,923/ m2",,F - Very uneconomical,,222m²,,Good,,Over 50 years,737m²,2,
