Raw Characteristics,Parse Success,Listing ID,Price per unit,Floor,Condition,Location,Available from,Usable area,Layout,EPC,Plot space,Plot type,Age,Total floors
"{""Listing ID"": ""905804"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""61m²"", ""Available from"": ""04/06/2025"", ""Floor"": ""5. podlaží z 6"", ""Price per unit"": ""€7,541/ m2"", """": ""MHD 1 minute on foot""}",True,905804,"€7,541/ m2",5. podlaží z 6,Good,,04/06/2025,61m²,2 bedroom,,,,Over 50 years,
"{""Listing ID"": ""905808"", ""Plot space"": ""567m²"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""218m²"", ""Condition"": ""Very good"", ""Price per unit"": ""€2,977/ m2"", """": ""MHD 0 minutes on foot""}",True,905808,"€2,977/ m2",,Very good,,,218m²,,,567m²,,Over 50 years,
"{""Listing ID"": ""905811"", ""Layout"": ""6+1"", ""Plot space"": ""540m²"", ""EPC"": ""E - Wasteful"", ""Total floors"": ""1"", ""Užitná plocha"": ""150m²"", ""Available from"": ""03/06/2025"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€6,327/ m2"", """": ""MHD 4 minutes on foot""}",True,905811,"€6,327/ m2",,After reconstruction,,03/06/2025,150m²,6+1,E - Wasteful,540m²,,Over 50 years,1
"{""Listing ID"": ""905813"", ""Available from"": ""04/06/2025"", ""Condition"": ""Under construction"", ""Total floors"": ""2"", ""Užitná plocha"": ""400m²"", ""Plot space"": ""1,117m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,450/ m2"", """": ""Garage""}",True,905813,"€2,450/ m2",,Under construction,,04/06/2025,400m²,,,"1,117m²",,Over 50 years,2
"{""Listing ID"": ""905817"", ""Layout"": ""1 bedroom"", ""Condition"": ""Very good"", ""Price per unit"": ""€33/ m2"", ""Užitná plocha"": ""24m²"", ""Fully furnished"": ""Fully furnished"", ""Age"": ""Over 50 years"", """": ""MHD 0 minutes on foot""}",True,905817,€33/ m2,,Very good,,,24m²,1 bedroom,,,,Over 50 years,
"{""Listing ID"": ""905819"", ""Layout"": ""4+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,050/ m2"", ""Užitná plocha"": ""180m²"", ""Plot space"": ""862m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""2"", """": ""Garage""}",True,905819,"€2,050/ m2",,After reconstruction,,,180m²,4+1,C - Economical,862m²,,Over 50 years,2
"{""Listing ID"": ""905821"", ""Plot space"": ""2,665m²"", ""Total floors"": ""2"", ""Užitná plocha"": ""530m²"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€1,302/ m2"", """": ""MHD 3 minutes on foot""}",True,905821,"€1,302/ m2",,After reconstruction,,,530m²,,,"2,665m²",,,2
"{""Listing ID"": ""905822"", ""Plot space"": ""47,000m²"", ""Available from"": ""04/06/2025"", ""Price per unit"": ""€34/ m2"", """": ""MHD 1 minute by car""}",True,905822,€34/ m2,,,,04/06/2025,,,,"47,000m²",,,
"{""Listing ID"": ""905827"", ""Layout"": ""5+1"", ""Condition"": ""Good"", ""Price per unit"": ""€10/ m2"", ""Užitná plocha"": ""185m²"", ""Available from"": ""01/08/2025"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,905827,€10/ m2,,Good,,01/08/2025,185m²,5+1,,,,Over 50 years,
"{""Listing ID"": ""905828"", ""Layout"": ""3+1"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""77m²"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€4,286/ m2"", """": ""MHD 3 minutes on foot""}",True,905828,"€4,286/ m2",,,,,77m²,3+1,C - Economical,,,Over 50 years,
