Raw Characteristics,Parse Success,Listing ID,Price per unit,Floor,Condition,Location,Available from,Usable area,Layout,EPC,Plot space,Plot type,Age,Total floors
"{""Listing ID"": ""907411"", ""Layout"": ""Other"", ""Fully furnished"": ""Partly"", ""Plot space"": ""381m²"", ""Ownership"": ""Personal"", ""EPC"": ""F - Very uneconomical"", ""Designe"": ""Standard"", ""Užitná plocha"": ""570m²"", ""Poloha domu"": ""Serial"", ""Available from"": ""20/05/2025"", ""Condition"": ""Good"", ""Building construction"": ""Brick"", ""Age"": ""Over 50 years"", ""Price per unit"": ""CZK 66,491/ m2""}",True,907411.0,"CZK 66,491/ m2",,Good,,20/05/2025,570m²,Other,F - Very uneconomical,381m²,,Over 50 years,
"{""Listing ID"": ""907412"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""After reconstruction"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""44m²"", ""Location"": ""The quiet part"", ""Available from"": ""20/05/2025"", ""Floor"": ""2. podlaží z 5"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 249,773/ m2"", """": ""Parking""}",True,907412.0,"CZK 249,773/ m2",2. podlaží z 5,After reconstruction,The quiet part,20/05/2025,44m²,2+kk,G - Extremely uneconomical,,,,
"{""Listing ID"": ""907413"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""C - Economical"", ""Užitná plocha"": ""55m²"", ""Location"": ""The quiet part"", ""Available from"": ""20/05/2025"", ""Floor"": ""1. podlaží z 4"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 210,000/ m2"", """": ""Lift""}",True,907413.0,"CZK 210,000/ m2",1. podlaží z 4,Very good,The quiet part,20/05/2025,55m²,2+kk,C - Economical,,,,
"{""Listing ID"": ""907065"", ""Available from"": ""19/05/2025"", ""Ownership"": ""Personal"", ""Price per unit"": ""CZK 7/ m2"", ""Location"": ""The quiet part"", ""Plot space"": ""625m²"", ""Plot type"": ""Building"", """": ""MHD 7 minutes on foot""}",True,907065.0,CZK 7/ m2,,,The quiet part,19/05/2025,,,,625m²,Building,,
"{""Listing ID"": ""752185"", ""Layout"": ""5+kk"", ""Location"": ""The quiet part"", ""Available from"": ""24/08/2025"", ""Condition"": ""New-build"", ""Building construction"": ""Mixed"", ""Heating"": ""Gas boiler"", ""Low-energy"": ""Yes"", ""Užitná plocha"": ""160m²"", ""Poloha domu"": ""Separate"", ""Fully furnished"": ""Partly"", ""Plot space"": ""958m²"", ""Floor"": ""2. podlaží z 2"", ""EPC"": ""C - Economical"", ""Designe"": ""Luxurious"", ""Price per unit"": ""CZK 197/ m2"", """": ""MHD 2 minutes by car""}",True,752185.0,CZK 197/ m2,2. podlaží z 2,New-build,The quiet part,24/08/2025,160m²,5+kk,C - Economical,958m²,,,
"{""Listing ID"": ""908382"", ""Location"": ""The quiet part"", ""Available from"": ""01/10/2025"", ""Floor"": ""2. podlaží z 2"", ""Price per unit"": ""CZK 117/ m2"", ""Plocha kanceláře"": ""3,000m²"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Building construction"": ""Mixed"", """": ""MHD 2 minutes on foot""}",True,908382.0,CZK 117/ m2,2. podlaží z 2,Very good,The quiet part,01/10/2025,,,,,,,
"{""Listing ID"": ""908384"", ""Poloha nebytového prostoru"": ""Separate"", ""Available from"": ""23/05/2025"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 154/ m2"", ""Plocha nebytového prostoru"": ""350m²"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Good"", ""EPC"": ""D - Less economical"", """": ""Garage""}",True,908384.0,CZK 154/ m2,,Good,,23/05/2025,,,D - Less economical,,,,
"{""Listing ID"": ""908387"", ""Layout"": ""Studio"", ""Available from"": ""23/05/2025"", ""Floor"": ""5. podlaží"", ""Building construction"": ""Mixed"", ""Water"": ""From a public source"", ""Price per unit"": ""CZK 581/ m2"", ""Užitná plocha"": ""37m²"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""New-build"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", ""Sewage"": ""Public sewage"", """": ""MHD 3 minutes on foot""}",True,908387.0,CZK 581/ m2,5. podlaží,New-build,,23/05/2025,37m²,Studio,B - Very economical,,,,
"{""Listing ID"": ""908388"", ""Poloha nemovitosti"": ""Separate"", ""Available from"": ""23/05/2025"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", ""Plocha garáže"": ""13m²"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""New-build"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 53,769/ m2"", """": ""Garage""}",True,908388.0,"CZK 53,769/ m2",,New-build,,23/05/2025,,,B - Very economical,,,,
"{""Listing ID"": ""906204"", ""Layout"": ""3+kk"", ""Available from"": ""16/05/2025"", ""Floor"": ""10. podlaží"", ""Building construction"": ""Prefab concrete"", ""Water"": ""From a public source"", ""Price per unit"": ""CZK 324/ m2"", ""Užitná plocha"": ""74m²"", ""Fully furnished"": ""Partly"", ""Condition"": ""Good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Sewage"": ""Public sewage"", """": ""MHD 3 minutes on foot""}",True,906204.0,CZK 324/ m2,10. podlaží,Good,,16/05/2025,74m²,3+kk,G - Extremely uneconomical,,,,
"{""Listing ID"": ""727669"", ""Layout"": ""6+kk"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""420m²"", ""Location"": ""The quiet part"", ""Available from"": ""01/07/2025"", ""Floor"": ""2. podlaží z 2"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 35,714/ m2"", """": ""MHD 4 minutes on foot""}",True,727669.0,"CZK 35,714/ m2",2. podlaží z 2,Very good,The quiet part,01/07/2025,420m²,6+kk,G - Extremely uneconomical,,,,
"{""Listing ID"": ""873986"", ""Available from"": ""26/11/2024"", ""Ownership"": ""Personal"", ""Price per unit"": ""CZK 4,475/ m2"", ""Location"": ""The quiet part"", ""Plot space"": ""1,875m²"", ""Plot type"": ""Building""}",True,873986.0,"CZK 4,475/ m2",,,The quiet part,26/11/2024,,,,"1,875m²",Building,,
"{""Listing ID"": ""881922"", ""Layout"": ""3+kk"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Building construction"": ""Brick"", ""Užitná plocha"": ""77m²"", ""Location"": ""The quiet part"", ""Available from"": ""01/03/2025"", ""Floor"": ""2. podlaží z 2"", ""Price per unit"": ""CZK 364/ m2"", """": ""Parking""}",True,881922.0,CZK 364/ m2,2. podlaží z 2,Very good,The quiet part,01/03/2025,77m²,3+kk,,,,,
"{""Listing ID"": ""729050"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Under construction"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", ""Designe"": ""Luxurious"", ""Užitná plocha"": ""61m²"", ""Location"": ""The quiet part"", ""Available from"": ""30/04/2023"", ""Floor"": ""2. podlaží z 5"", ""Building construction"": ""Brick"", ""Age"": ""Up to 10 years"", ""Price per unit"": ""CZK 160,575/ m2"", """": ""Garage""}",True,729050.0,"CZK 160,575/ m2",2. podlaží z 5,Under construction,The quiet part,30/04/2023,61m²,2+kk,B - Very economical,,,Up to 10 years,
"{""Listing ID"": ""878959"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Partly"", ""Condition"": ""Good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""61m²"", ""Location"": ""Centre"", ""Available from"": ""23/01/2025"", ""Floor"": ""Ground floor"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 65,410/ m2"", """": ""Basement: 5 m²""}",True,878959.0,"CZK 65,410/ m2",Ground floor,Good,Centre,23/01/2025,61m²,2+kk,G - Extremely uneconomical,,,,
"{""Listing ID"": ""553489"", ""Layout"": ""3+kk"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""C - Economical"", ""Heating"": ""Gas boiler"", ""Price per unit"": ""CZK 380/ m2"", ""Užitná plocha"": ""79m²"", ""Location"": ""The quiet part"", ""Available from"": ""24/07/2025"", ""Floor"": ""3. podlaží"", ""Building construction"": ""Brick"", ""Age"": ""10 to 30 years"", ""Designe"": ""Luxurious"", """": ""Garage""}",True,553489.0,CZK 380/ m2,3. podlaží,Very good,The quiet part,24/07/2025,79m²,3+kk,C - Economical,,,10 to 30 years,
"{""Listing ID"": ""908420"", ""Layout"": ""5+1"", ""Fully furnished"": ""Fully furnished"", ""Plot space"": ""800m²"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""300m²"", ""Poloha domu"": ""Separate"", ""Available from"": ""01/07/2025"", ""Condition"": ""Good"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 18,300/ m2"", """": ""Parking""}",True,908420.0,"CZK 18,300/ m2",,Good,,01/07/2025,300m²,5+1,G - Extremely uneconomical,800m²,,,
"{""Listing ID"": ""907464"", ""Poloha nebytového prostoru"": ""In the block"", ""Available from"": ""21/05/2025"", ""Ownership"": ""Personal"", ""EPC"": ""D - Less economical"", ""Plocha nebytového prostoru"": ""27m²"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""Very good"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 100,000/ m2""}",True,907464.0,"CZK 100,000/ m2",,Very good,,21/05/2025,,,D - Less economical,,,,
